,statYear,statMonth,m0Month,m0YOY,m0ChainRelative,m1Month,m1YOY,m1ChainRelative,m2Month,m2YOY,m2ChainRelative
0,2009,01,41082.371150,12.020000,20.057334,165214.341300,6.680000,-0.603300,496135.307800,18.790000,4.412917
1,2009,02,35141.644160,8.280000,-14.460526,166149.601200,10.870000,0.566089,506708.070000,20.480000,2.131024
2,2009,03,33746.422780,10.880000,-3.970279,176541.131300,17.040000,6.254321,530626.711800,25.510000,4.720399
3,2009,04,34257.267370,11.260000,1.513774,178213.568300,17.480000,0.947336,540481.213700,25.950000,1.857144
4,2009,05,33559.520000,11.240000,-2.036786,182025.580000,18.690000,2.139013,548263.510000,25.740000,1.439883
5,2009,06,33640.980000,11.460000,0.242733,193138.150000,24.790000,6.104950,568916.200000,28.460000,3.766928
6,2009,07,34239.300000,11.590000,1.778545,195889.270000,26.370000,1.424431,573102.851700,28.420000,0.735900
7,2009,08,34406.619820,11.520000,0.488678,200394.826100,27.720000,2.300053,576698.953500,28.530000,0.627479
8,2009,09,36787.885680,15.960000,6.920953,201708.139800,29.510000,0.655363,585405.337300,29.310000,1.509693
9,2009,10,35730.225310,14.090000,-2.875024,207545.743100,32.030000,2.894084,586643.288700,29.420000,0.211469
10,2009,11,36343.859930,14.990000,1.717410,212493.203700,34.630000,2.383793,594604.721300,29.740000,1.357116
11,2009,12,38246.974410,11.770000,5.236413,221445.805700,32.350000,4.213124,610224.523100,27.680000,2.626922
12,2010,01,40758.580000,-0.790000,6.566809,229588.980000,38.960000,3.677276,625609.290000,25.980000,2.521165
13,2010,02,42865.785600,21.980000,5.169968,224286.954400,34.990000,-2.309355,636072.264600,25.520000,1.672446
14,2010,03,39080.581920,15.810000,-8.830361,229397.933200,29.940000,2.278768,649947.464300,22.500000,2.181387
15,2010,04,39657.536530,15.760000,1.476320,233909.759700,31.250000,1.966812,656561.217000,21.480000,1.017583
16,2010,05,38652.971610,15.200000,-2.533100,236497.883100,29.900000,1.106462,663351.370000,21.000000,1.034200
17,2010,06,38904.845290,15.700000,0.651628,240579.997500,24.600000,1.726068,673921.723900,18.500000,1.593477
