,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
0,2015-01-05,sh.000012,145.7530,145.8130,145.7510,145.7980,145.6790,597870,60678077.0000,3,0.000000,1,0.081689,,,,,
1,2015-01-06,sh.000012,145.8140,145.8640,145.7990,145.8180,145.7980,803180,82084865.0000,3,0.000000,1,0.013710,,,,,
2,2015-01-07,sh.000012,145.8330,145.8500,145.8330,145.8370,145.8180,611760,62496427.0000,3,0.000000,1,0.013038,,,,,
3,2015-01-08,sh.000012,145.8520,145.8910,145.8440,145.8780,145.8370,843210,86335458.0000,3,0.000000,1,0.028114,,,,,
4,2015-01-09,sh.000012,145.8920,146.0560,145.8890,146.0280,145.8780,2251340,232086340.0000,3,0.000000,1,0.102821,,,,,
5,2015-01-12,sh.000012,146.0720,146.1170,146.0190,146.0900,146.0280,2553900,261369632.0000,3,0.000000,1,0.042455,,,,,
6,2015-01-13,sh.000012,146.1050,146.1460,146.1040,146.1460,146.0900,1823980,189504866.0000,3,0.000000,1,0.038332,,,,,
7,2015-01-14,sh.000012,146.1630,146.2170,146.1280,146.2170,146.1460,3262210,339231184.0000,3,0.000000,1,0.048581,,,,,
8,2015-01-15,sh.000012,146.2310,146.3800,146.2310,146.3800,146.2170,1281690,132624749.0000,3,0.000000,1,0.111485,,,,,
9,2015-01-16,sh.000012,146.3940,146.4720,146.3800,146.4720,146.3800,2373510,244299689.0000,3,0.000000,1,0.062847,,,,,
10,2015-01-19,sh.000012,146.5160,146.5940,146.4990,146.5530,146.4720,946890,97933797.0000,3,0.000000,1,0.055296,,,,,
11,2015-01-20,sh.000012,146.5670,146.5970,146.5530,146.5840,146.5530,3070610,319914912.0000,3,0.000000,1,0.021157,,,,,
12,2015-01-21,sh.000012,146.5960,146.6260,146.5960,146.6220,146.5840,3609940,365229200.0000,3,0.000000,1,0.025920,,,,,
13,2015-01-22,sh.000012,146.6370,146.6530,146.5900,146.5940,146.6220,1805290,184556055.0000,3,0.000000,1,-0.019097,,,,,
14,2015-01-23,sh.000012,146.6090,146.6150,146.5780,146.5870,146.5940,3095550,312080352.0000,3,0.000000,1,-0.004767,,,,,
15,2015-01-26,sh.000012,146.6310,146.6700,146.6260,146.6700,146.5870,4308190,436749920.0000,3,0.000000,1,0.056617,,,,,
16,2015-01-27,sh.000012,146.6850,146.7350,146.6800,146.7340,146.6700,3693740,378394096.0000,3,0.000000,1,0.043632,,,,,
17,2015-01-28,sh.000012,146.7440,146.7470,146.7240,146.7320,146.7340,2957160,300933920.0000,3,0.000000,1,-0.001362,,,,,
