,date,shiborON,shibor1W,shibor2W,shibor1M,shibor3M,shibor6M,shibor9M,shibor1Y
0,2015-01-04,3.640000,4.883000,5.794000,5.629000,5.138000,4.753700,4.624600,4.738500
1,2015-01-05,3.421000,4.725000,5.665000,5.364000,5.125000,4.747800,4.627600,4.742900
2,2015-01-06,3.032000,4.241000,4.965000,5.102000,5.077000,4.748200,4.641000,4.745500
3,2015-01-07,2.881000,3.873000,4.732000,4.953000,5.019000,4.750100,4.645700,4.747600
4,2015-01-08,2.830000,3.745000,4.659000,4.803000,4.963000,4.748000,4.648700,4.748800
5,2015-01-09,2.805000,3.738000,4.698000,4.781000,4.925000,4.747000,4.651000,4.749000
6,2015-01-12,2.753000,3.762000,4.721000,4.782000,4.906100,4.747900,4.658200,4.750000
7,2015-01-13,2.667000,3.730000,4.692000,4.787000,4.905500,4.753900,4.660900,4.750000
8,2015-01-14,2.636000,3.837000,4.789000,4.799000,4.898000,4.750900,4.663200,4.750000
9,2015-01-15,2.631000,3.843000,4.780000,4.797000,4.894000,4.754300,4.670500,4.752100
10,2015-01-16,2.633000,3.848000,4.756000,4.793000,4.889000,4.761200,4.679500,4.752100
11,2015-01-19,2.660000,3.831000,4.726000,4.790000,4.894000,4.765500,4.685000,4.755500
12,2015-01-20,2.707000,3.782000,4.718000,4.846500,4.897000,4.770700,4.702800,4.763500
13,2015-01-21,2.788000,3.823000,5.030000,4.943000,4.900000,4.775700,4.708500,4.768000
14,2015-01-22,2.771000,3.875000,5.049000,4.989000,4.900000,4.773000,4.712200,4.772000
15,2015-01-23,2.728000,4.028000,5.033000,5.028000,4.901000,4.774500,4.717300,4.773800
16,2015-01-26,2.688000,3.920000,4.949000,4.984000,4.893500,4.774100,4.727700,4.774800
17,2015-01-27,2.674000,3.890000,4.849000,4.965800,4.897000,4.777100,4.742700,4.775800
18,2015-01-28,2.690000,3.898000,4.850000,4.973200,4.900500,4.782900,4.752700,4.778800
19,2015-01-29,2.765000,3.929000,4.868000,4.988500,4.907000,4.787800,4.757700,4.779000
20,2015-01-30,2.813000,4.026000,4.896000,5.010000,4.914000,4.792000,4.764000,4.783000
21,2015-02-02,2.889000,4.257000,4.909000,5.048000,4.916400,4.796000,4.765200,4.784800
22,2015-02-03,2.954400,4.393300,4.918900,5.066700,4.916700,4.798900,4.767800,4.785600
23,2015-02-04,2.973000,4.427000,4.932000,5.078000,4.928000,4.799000,4.769800,4.788600
24,2015-02-05,2.866000,4.412000,4.860000,5.050200,4.916000,4.788000,4.757000,4.783000
25,2015-02-06,2.856000,4.359000,4.831000,5.043000,4.908000,4.784100,4.755000,4.779300
26,2015-02-09,2.812000,4.335000,4.807000,5.025000,4.904000,4.779600,4.753800,4.779000
27,2015-02-10,2.852000,4.321000,4.761000,5.031000,4.899000,4.779100,4.749400,4.779000
28,2015-02-11,2.932000,4.420000,4.791000,5.044000,4.900000,4.776500,4.748200,4.780000
29,2015-02-12,3.058000,4.602000,4.784000,5.055000,4.901000,4.778000,4.749100,4.783400
30,2015-02-13,3.091000,4.663000,4.775000,5.064000,4.900000,4.780300,4.751200,4.785500
31,2015-02-15,3.175000,4.720000,4.786000,5.067000,4.900000,4.780300,4.751300,4.787600
32,2015-02-16,3.182000,4.700000,4.781000,5.077000,4.900000,4.782100,4.751200,4.788800
33,2015-02-17,3.400000,4.749000,4.859000,5.076000,4.900000,4.785300,4.751200,4.786800
34,2015-02-25,3.328000,4.768000,4.814000,5.080000,4.900000,4.785600,4.751200,4.788600
35,2015-02-26,3.298000,4.717000,4.816000,5.082800,4.900000,4.784600,4.751200,4.787800
36,2015-02-27,3.318000,4.715000,4.873000,5.083200,4.900000,4.784600,4.751200,4.788800
37,2015-02-28,3.441000,4.772000,4.896000,5.083300,4.900000,4.782500,4.751200,4.787900
38,2015-03-02,3.453000,4.748000,4.862000,5.069000,4.898000,4.779500,4.750200,4.782900
39,2015-03-03,3.450000,4.747000,4.878000,5.067000,4.897900,4.780100,4.749100,4.780500
40,2015-03-04,3.446000,4.717000,4.868000,5.066000,4.895900,4.779100,4.751000,4.781200
41,2015-03-05,3.433000,4.729000,4.861000,5.064000,4.896000,4.780000,4.753100,4.780200
42,2015-03-06,3.416000,4.739000,4.868500,5.060000,4.897800,4.779100,4.753500,4.782100
43,2015-03-09,3.381000,4.773000,4.871000,5.058000,4.897900,4.778100,4.751500,4.780300
44,2015-03-10,3.350000,4.763000,4.836000,5.055000,4.898800,4.778900,4.748300,4.780100
45,2015-03-11,3.347000,4.773000,4.814000,5.051800,4.900000,4.779900,4.749000,4.780100
46,2015-03-12,3.464400,4.751100,4.798900,5.051100,4.900000,4.780000,4.750000,4.780100
47,2015-03-13,3.436000,4.738000,4.773000,5.052000,4.900000,4.780100,4.750000,4.780000
48,2015-03-16,3.403000,4.708000,4.753000,5.045000,4.905000,4.781100,4.752000,4.780100
49,2015-03-17,3.376000,4.620000,4.692000,5.040000,4.905000,4.781200,4.752500,4.780100
50,2015-03-18,3.369000,4.602000,4.666000,5.035000,4.906000,4.780200,4.750000,4.780100
51,2015-03-19,3.332000,4.496000,4.607000,5.034000,4.904000,4.781200,4.750500,4.780100
52,2015-03-20,3.294000,4.331000,4.495000,5.031000,4.902000,4.780200,4.750500,4.780000
53,2015-03-23,3.217000,4.143000,4.362000,5.029000,4.899000,4.780000,4.750000,4.780000
54,2015-03-24,3.218000,4.033000,4.329000,5.020000,4.898000,4.779000,4.749000,4.780000
55,2015-03-25,3.210000,3.955000,4.294000,5.018000,4.897500,4.779600,4.750700,4.780100
56,2015-03-26,3.216000,3.897000,4.268000,5.016000,4.897500,4.779500,4.749500,4.780000
57,2015-03-27,3.206000,3.893000,4.284000,5.016000,4.897500,4.779600,4.749500,4.780000
58,2015-03-30,3.203000,3.919000,4.332000,5.013000,4.897500,4.779500,4.749500,4.780000
59,2015-03-31,3.183000,3.886000,4.314000,5.009000,4.897500,4.779500,4.749500,4.780000
60,2015-04-01,3.087000,3.754000,4.249000,4.998000,4.897500,4.779500,4.749500,4.780000
61,2015-04-02,2.995000,3.635000,4.106000,4.991000,4.897500,4.778500,4.749500,4.780000
62,2015-04-03,2.887000,3.506000,3.970000,4.923000,4.888000,4.779400,4.749500,4.780000
63,2015-04-07,2.766000,3.319000,3.833000,4.845000,4.858500,4.778400,4.748500,4.780000
64,2015-04-08,2.683000,3.163000,3.733000,4.761600,4.830500,4.777300,4.748300,4.780000
65,2015-04-09,2.599000,3.073000,3.636000,4.647500,4.800800,4.776200,4.747200,4.779800
66,2015-04-10,2.489000,2.970000,3.534000,4.558200,4.782100,4.775500,4.746800,4.778500
67,2015-04-13,2.405000,2.949000,3.487000,4.498300,4.766700,4.773300,4.746700,4.777400
68,2015-04-14,2.372000,2.920000,3.436000,4.442000,4.753500,4.770000,4.746700,4.777300
69,2015-04-15,2.307000,2.880000,3.403000,4.384000,4.736500,4.769000,4.747400,4.777300
70,2015-04-16,2.298000,2.884000,3.392000,4.346000,4.720000,4.758500,4.746700,4.775300
71,2015-04-17,2.268000,2.873000,3.384000,4.314000,4.703000,4.748500,4.745600,4.775800
72,2015-04-20,2.087000,2.732000,3.291000,4.146000,4.613300,4.697800,4.709400,4.755300
73,2015-04-21,2.002000,2.620000,3.172000,4.015000,4.484500,4.646100,4.666700,4.726500
74,2015-04-22,1.949000,2.567000,3.144000,3.908000,4.416100,4.596000,4.629800,4.693500
75,2015-04-23,1.908000,2.527000,3.126000,3.842000,4.343100,4.539000,4.604000,4.668800
76,2015-04-24,1.851000,2.488000,3.099000,3.768000,4.264100,4.508500,4.589500,4.643000
77,2015-04-27,1.806000,2.451000,3.099000,3.670500,4.161000,4.467600,4.559500,4.627800
78,2015-04-28,1.759000,2.438000,3.084000,3.598200,4.080000,4.403500,4.530000,4.607500
79,2015-04-29,1.739000,2.439000,3.078000,3.529500,4.035000,4.355300,4.510200,4.596500
80,2015-04-30,1.690000,2.430000,3.069000,3.465000,3.970000,4.324000,4.490500,4.581600
81,2015-05-04,1.619000,2.390000,3.005000,3.380000,3.923000,4.294000,4.477000,4.562800
82,2015-05-05,1.564000,2.368000,2.947000,3.302000,3.881500,4.256500,4.456700,4.545500
83,2015-05-06,1.523000,2.369000,2.940000,3.267000,3.846000,4.230000,4.437800,4.533000
84,2015-05-07,1.489000,2.355000,2.910000,3.241000,3.823000,4.212000,4.419800,4.515000
85,2015-05-08,1.443000,2.334000,2.834000,3.211000,3.798500,4.183100,4.396000,4.500000
86,2015-05-11,1.345000,2.245000,2.639000,3.120000,3.735000,4.125000,4.335000,4.453000
87,2015-05-12,1.290000,2.197000,2.635000,3.083000,3.681000,4.090000,4.292000,4.415000
88,2015-05-13,1.247000,2.149000,2.596000,3.042000,3.634000,4.046000,4.255300,4.384500
89,2015-05-14,1.182000,2.056000,2.536000,2.957000,3.482000,3.962000,4.180500,4.311500
90,2015-05-15,1.078000,1.962000,2.400000,2.802000,3.323000,3.875000,4.097000,4.241000
91,2015-05-18,1.052000,1.920000,2.384000,2.664000,3.200000,3.772000,4.022000,4.171000
92,2015-05-19,1.033000,1.925000,2.370000,2.570000,3.156000,3.700000,3.979000,4.115000
93,2015-05-20,1.032000,1.932000,2.380000,2.514000,3.071000,3.648000,3.939000,4.024000
94,2015-05-21,1.033000,1.944000,2.369000,2.457000,3.014000,3.595000,3.900000,3.948000
95,2015-05-22,1.037000,1.966000,2.295000,2.389000,2.959000,3.561000,3.862500,3.866000
96,2015-05-25,1.039000,1.968000,2.207000,2.302000,2.903000,3.445000,3.681000,3.692000
