,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
0,2015-01-05,sz.399001,11150.9800,11587.2800,11150.9800,11520.5900,11014.6200,21907070400,278915000000.0000,3,0.187450,1,4.593619,,,,,
1,2015-01-06,sz.399001,11424.9200,11749.1400,11374.5000,11667.9700,11520.5900,21215574400,288324000000.0000,3,0.181533,1,1.279274,,,,,
2,2015-01-07,sz.399001,11612.7300,11714.7800,11505.0300,11613.3600,11667.9700,16886688000,229557000000.0000,3,0.144492,1,-0.468028,,,,,
3,2015-01-08,sz.399001,11624.5900,11656.7100,11371.9200,11465.1400,11613.3600,16521288000,223004000000.0000,3,0.141366,1,-1.276295,,,,,
4,2015-01-09,sz.399001,11424.5300,11738.2500,11313.2500,11324.7600,11465.1400,16223875200,226395000000.0000,3,0.138821,1,-1.224406,,,,,
5,2015-01-12,sz.399001,11279.7300,11376.0900,11116.0600,11285.1800,11324.7600,14075254400,192733000000.0000,3,0.120436,1,-0.349500,,,,,
6,2015-01-13,sz.399001,11250.8800,11418.4500,11244.4200,11355.8100,11285.1800,12576585600,187885000000.0000,3,0.107613,1,0.625864,,,,,
7,2015-01-14,sz.399001,11366.9500,11429.3100,11153.1700,11237.7800,11355.8100,12251059200,181170000000.0000,3,0.104827,1,-1.039374,,,,,
8,2015-01-15,sz.399001,11240.8400,11483.7500,11161.5200,11483.6800,11237.7800,12665181600,187279000000.0000,3,0.108371,1,2.188149,,,,,
9,2015-01-16,sz.399001,11496.7600,11583.7300,11436.2800,11532.8000,11483.6800,14805078400,221171000000.0000,3,0.126681,1,0.427739,,,,,
10,2015-01-19,sz.399001,10939.0400,11204.4900,10634.6200,10770.9300,11532.8000,19608003200,277090000000.0000,3,0.167778,1,-6.606116,,,,,
11,2015-01-20,sz.399001,10761.2800,11026.0500,10750.8500,10996.4800,10770.9300,18183360000,277313000000.0000,3,0.155588,1,2.094070,,,,,
12,2015-01-21,sz.399001,11051.9500,11395.1000,11000.7400,11372.1800,10996.4800,21321220800,320221000000.0000,3,0.182437,1,3.416540,,,,,
13,2015-01-22,sz.399001,11358.4400,11499.4400,11342.0800,11471.2100,11372.1800,19440748800,290693000000.0000,3,0.166346,1,0.870812,,,,,
14,2015-01-23,sz.399001,11507.4400,11554.5200,11379.9600,11436.2900,11471.2100,18566811200,277748000000.0000,3,0.158869,1,-0.304414,,,,,
15,2015-01-26,sz.399001,11564.2200,11711.8900,11512.0100,11686.9700,11436.2900,18469297600,272299000000.0000,3,0.158392,1,2.191967,,,,,
16,2015-01-27,sz.399001,11670.2400,11705.9100,11368.9900,11551.8700,11686.9700,20542673600,296525000000.0000,3,0.176173,1,-1.155985,,,,,
17,2015-01-28,sz.399001,11484.9900,11530.0900,11309.2100,11354.2000,11551.8700,16910350400,253585000000.0000,3,0.145022,1,-1.711151,,,,,
18,2015-01-29,sz.399001,11187.3000,11319.4700,11161.4300,11249.0400,11354.2000,15925118400,222092000000.0000,3,0.136573,1,-0.926178,,,,,
19,2015-01-30,sz.399001,11290.4500,11354.0900,11132.8000,11150.6900,11249.0400,15703352000,215512000000.0000,3,0.134671,1,-0.874293,,,,,
20,2015-02-02,sz.399001,10952.1400,11140.9700,10921.4400,10963.1400,11150.6900,13446696000,190729000000.0000,3,0.115314,1,-1.681966,,,,,
21,2015-02-03,sz.399001,11077.4800,11216.6800,10993.5500,11209.1900,10963.1400,14736851200,224411000000.0000,3,0.126378,1,2.244346,,,,,
22,2015-02-04,sz.399001,11241.9800,11364.3800,11111.5300,11116.5500,11209.1900,15830112000,234697000000.0000,3,0.135754,1,-0.826470,,,,,
23,2015-02-05,sz.399001,11367.1400,11386.7300,11065.5800,11065.5800,11116.5500,17782038400,272973000000.0000,3,0.152493,1,-0.458503,,,,,
24,2015-02-06,sz.399001,11022.4900,11054.9400,10715.4300,10791.1000,11065.5800,15142592000,225922000000.0000,3,0.129811,1,-2.480489,,,,,
25,2015-02-09,sz.399001,10792.0000,10975.8500,10760.0500,10868.1400,10791.1000,12242006400,187419000000.0000,3,0.104945,1,0.713922,,,,,
26,2015-02-10,sz.399001,10887.6800,11136.6200,10875.2900,11136.6200,10868.1400,10903888800,167218000000.0000,3,0.093474,1,2.470344,,,,,
27,2015-02-11,sz.399001,11174.3100,11318.4600,11167.1200,11265.6300,11136.6200,12991908800,195730000000.0000,3,0.111367,1,1.158428,,,,,
28,2015-02-12,sz.399001,11268.5900,11348.3200,11185.0000,11302.7300,11265.6300,13665851200,204098000000.0000,3,0.117144,1,0.329325,,,,,
29,2015-02-13,sz.399001,11362.0000,11564.6800,11338.0100,11443.0500,11302.7300,16862372800,262212000000.0000,3,0.144544,1,1.241464,,,,,
30,2015-02-16,sz.399001,11474.8800,11606.0100,11437.7400,11595.2500,11443.0500,16732944000,267923000000.0000,3,0.143418,1,1.330067,,,,,
31,2015-02-17,sz.399001,11658.0500,11772.1500,11644.5400,11718.5600,11595.2500,14975304000,241479000000.0000,3,0.128283,1,1.063449,,,,,
32,2015-02-25,sz.399001,11755.1800,11755.1800,11500.6900,11539.7000,11718.5600,15358920000,245166000000.0000,3,0.131569,1,-1.526291,,,,,
33,2015-02-26,sz.399001,11526.5100,11752.0100,11470.4300,11750.7800,11539.7000,16590456000,253774000000.0000,3,0.142119,1,1.829164,,,,,
34,2015-02-27,sz.399001,11736.2900,11819.4200,11719.6600,11757.6800,11750.7800,18304728000,278830000000.0000,3,0.156804,1,0.058715,,,,,
35,2015-03-02,sz.399001,11869.9600,11955.8200,11781.6100,11884.0200,11757.6800,24367190400,376201000000.0000,3,0.208729,1,1.074530,,,,,
36,2015-03-03,sz.399001,11800.9900,11800.9900,11515.5500,11526.2200,11884.0200,25447526400,392989000000.0000,3,0.217983,1,-3.010764,,,,,
37,2015-03-04,sz.399001,11530.9300,11688.2800,11521.7000,11655.0800,11526.2200,21936728000,337643000000.0000,3,0.187909,1,1.117976,,,,,
38,2015-03-05,sz.399001,11597.4900,11628.1500,11484.8000,11566.3900,11655.0800,22521404800,357242000000.0000,3,0.192638,1,-0.760959,,,,,
39,2015-03-06,sz.399001,11600.6600,11626.1100,11381.9100,11392.4000,11566.3900,20264889600,315510000000.0000,3,0.173337,1,-1.504266,,,,,
40,2015-03-09,sz.399001,11280.0200,11547.8300,11169.0500,11533.2300,11392.4000,18606710400,287941000000.0000,3,0.159154,1,1.236176,,,,,
41,2015-03-10,sz.399001,11501.9800,11649.2500,11479.2800,11556.6500,11533.2300,19643190400,313719000000.0000,3,0.168019,1,0.203065,,,,,
42,2015-03-11,sz.399001,11554.6600,11682.5400,11491.6900,11525.0900,11556.6500,19546664000,309149000000.0000,3,0.167194,1,-0.273094,,,,,
43,2015-03-12,sz.399001,11593.6900,11645.5600,11516.2500,11635.5900,11525.0900,20038670400,316798000000.0000,3,0.171402,1,0.958778,,,,,
44,2015-03-13,sz.399001,11680.4700,11751.2000,11654.1900,11713.6100,11635.5900,18082187200,289367000000.0000,3,0.154485,1,0.670533,,,,,
45,2015-03-16,sz.399001,11791.4200,12021.8200,11748.0800,12017.7700,11713.6100,25732305600,422580000000.0000,3,0.219835,1,2.596631,,,,,
46,2015-03-17,sz.399001,12083.4400,12190.2800,12046.8000,12169.5200,12017.7700,31889516800,501527000000.0000,3,0.272437,1,1.262714,,,,,
47,2015-03-18,sz.399001,12206.7200,12505.3400,12190.2500,12496.2400,12169.5200,32377782400,489115000000.0000,3,0.276608,1,2.684746,,,,,
48,2015-03-19,sz.399001,12549.5500,12552.7100,12337.6700,12429.1100,12496.2400,31299987200,478378000000.0000,3,0.267400,1,-0.537201,,,,,
49,2015-03-20,sz.399001,12427.4100,12659.8300,12387.8900,12544.4500,12429.1100,30040307200,498135000000.0000,3,0.256639,1,0.927981,,,,,
50,2015-03-23,sz.399001,12644.1900,12813.8300,12644.1900,12780.3200,12544.4500,32546080000,549494000000.0000,3,0.278046,1,1.880275,,,,,
51,2015-03-24,sz.399001,12841.1400,12841.4500,12495.9200,12801.2000,12780.3200,39286086400,663923000000.0000,3,0.335626,1,0.163375,,,,,
52,2015-03-25,sz.399001,12776.0000,12841.9000,12656.5200,12757.0900,12801.2000,33680633600,596184000000.0000,3,0.287738,1,-0.344580,,,,,
53,2015-03-26,sz.399001,12703.3500,12856.2100,12601.7500,12712.9800,12757.0900,31025468800,563569000000.0000,3,0.265055,1,-0.345764,,,,,
54,2015-03-27,sz.399001,12779.3300,12930.2400,12717.4300,12874.4200,12712.9800,23931539200,426090000000.0000,3,0.204450,1,1.269879,,,,,
